Agency,Index Crime Months,agency_type,population_21,NIBRS Months_21,NIBRS Months_22,agency_name_full,violent_crime_2020,property_crime_2020,murder_2020,total_crime_2020,longitude,latitude,County,Historical mean,Historical count
Rhinebeck Vg PD,12,City,2554,0,0,rhinebeck vlg police dept,1,18,0,19,-73.9074372,41.9318294,Dutchess,12,19
Millbrook Vg PD,,City,1400,0,0,millbrook village police department,0,0,0,0,-73.6921568,41.7866308,Dutchess,12,7
Pine Plains Town PD,12,City,2399,0,0,town of pine plains police dept,0,1,0,1,-73.6559602,41.9798143,Dutchess,11.9375,16
Poughkeepsie Town PD,12,City,38934,11,12,poughkeepsie town police department,69,903,0,972,-73.8891799,41.7047967,Dutchess,12,19
Fishkill Town PD,5,City,21973,0,0,fishkill town police department,5,353,0,358,-73.9230265,41.5260773,Dutchess,11.47368421,19
Hyde Park Town PD,12,City,20766,12,12,hyde park town police department,9,36,0,45,-73.910354,41.789538,Dutchess,12,19
East Fishkill Town PD,12,City,29578,12,9,east fishkill town police department,12,137,0,149,-73.7956884,41.5534267,Dutchess,12,19
nan,,Other State Agency,0,0,0,nys park police taconic region,0,0,0,0,-73.9309163,41.8425586,Westchester,,
Erie County Sheriff,12,County,126954,0,0,erie county sheriff's office,52,575,2,627,-78.7476208,42.6974933,Erie,12,19
Buffalo City PD,12,City,254627,12,12,buffalo police department,2592,7965,61,10557,-78.8783689,42.8864468,Erie,12,19
Lackawanna City PD,12,City,17674,0,0,lackawanna police department,100,352,0,452,-78.8251728,42.8261596,Erie,12,19
Tonawanda City PD,12,City,14700,0,0,tonawanda police department,46,287,1,333,-78.880315,43.0203347,Erie,12,19
Kenmore Vg PD,12,City,14968,0,7,kenmore village police department,37,242,0,279,-78.8783432,42.9624831,Erie,12,19
East Aurora-Town Of Aurora PD,12,City,13748,0,0,east aurora village pd east aurora,3,76,0,79,-78.6133589,42.7678376,Erie,12,19
Depew Vg PD,12,City,14965,0,0,depew village police department,23,230,0,253,-78.6922515,42.9039476,Erie,12,19
Gowanda Vg PD,12,City,2531,0,0,gowanda village police department,4,36,0,40,-78.935868,42.4631167,Erie,12,19
Blasdell Vg PD,12,City,2671,0,0,blasdell village pd blasdell,4,32,0,36,-78.8233661,42.797281,Erie,8.666666667,3
Hamburg Vg PD,12,City,9744,0,0,hamburg village police department,6,71,0,77,-78.8332013,42.7158749,Erie,12,19
Akron Vg PD,12,City,2852,0,0,akron village police department,0,6,0,6,-78.501958,43.019776,Erie,12,19
nan,,Other,0,0,0,niagara frontier transportation authority,,,,,-78.872036,42.883393,Niagara,,
Amherst Town PD,12,City,121304,0,0,amherst town police department,153,1865,0,2018,-78.779998,43.013667,Erie,12,19
Brant Town PD,12,City,2056,0,0,brant town police dept,0,15,0,15,-79.015503,42.588425,Erie,12,19
Cheektowaga Town PD,12,City,76536,0,0,cheektowaga town police department,216,2237,1,2453,-78.7542892,42.9071477,Erie,12,19
Orchard Park Town PD,12,City,29653,0,0,orchard park town police department,8,277,0,285,-78.7439189,42.7675593,Erie,12,19
Eden Town PD,12,City,7602,0,0,eden town police department,1,22,0,23,-78.8954,42.6523,Erie,12,19
