Agency,Index Crime Months,agency_type,population_21,NIBRS Months_21,NIBRS Months_22,agency_name_full,violent_crime_2020,property_crime_2020,murder_2020,total_crime_2020,longitude,latitude,County,Historical mean,Historical count
Columbia County Sheriff,12.0,County,43015,0,0,columbia county sheriff's office,26.0,254.0,0.0,280.0,-73.626803,42.247728,Columbia,12.0,19.0
Hudson City PD,12.0,City,6004,12,8,hudson police department,22.0,158.0,0.0,180.0,-73.626803,42.247728,Columbia,12.0,19.0
Philmont Vg PD,,City,1246,0,0,philmont vlg police dept,0.0,0.0,0.0,0.0,-73.626803,42.247728,Columbia,6.0,11.0
Greenport Town PD,8.0,City,4246,0,0,greenport town police department,1.0,23.0,0.0,24.0,-73.626803,42.247728,Columbia,12.0,19.0
Chatham Vg PD,,City,1606,0,0,chatham village police department,0.0,1.0,0.0,1.0,-73.626803,42.247728,Columbia,12.0,19.0
nan,,City,2585,0,0,columbia greene humane society,0.0,0.0,0.0,0.0,-73.626803,42.247728,,,
Cortland County Sheriff,6.0,County,25399,0,11,cortland county sheriff's office,15.0,97.0,1.0,112.0,-76.07624,42.594039,Cortland,12.0,19.0
Cortland City PD,12.0,City,18615,0,12,cortland police department,49.0,514.0,0.0,563.0,-76.07624,42.594039,Cortland,12.0,19.0
Homer Vg PD,,City,3081,0,0,homer village police department,0.0,1.0,0.0,1.0,-76.07624,42.594039,Cortland,11.789473684210526,19.0
Delaware County Sheriff,12.0,County,31333,0,0,delaware county sheriff's office,30.0,160.0,1.0,190.0,-74.966728,42.193986,Delaware,12.0,19.0
Delhi Vg PD,12.0,City,2935,0,0,delhi village police department,2.0,24.0,0.0,26.0,-74.966728,42.193986,Delaware,12.0,19.0
Hancock Vg PD,12.0,City,923,0,0,hancock village police department,1.0,8.0,0.0,9.0,-74.966728,42.193986,Delaware,12.0,17.0
Sidney Vg PD,12.0,City,3553,0,0,sidney village police department,6.0,41.0,0.0,47.0,-74.966728,42.193986,Delaware,12.0,19.0
Walton Vg PD,,City,2768,0,0,walton village police department,0.0,0.0,0.0,0.0,-74.966728,42.193986,Delaware,11.4375,16.0
Colchester Town PD,12.0,City,1947,0,0,colchester town police department,1.0,9.0,0.0,10.0,-74.966728,42.193986,Delaware,12.0,17.0
Dutchess County Sheriff,12.0,County,117314,12,12,dutchess county sheriff's office,34.0,376.0,0.0,410.0,-73.739951,41.75501,Dutchess,12.0,19.0
Beacon City PD,12.0,City,13984,12,12,beacon police department,15.0,124.0,0.0,139.0,-73.739951,41.75501,Dutchess,11.736842105263158,19.0
Poughkeepsie City PD,12.0,City,30480,0,0,poughkeepsie police department,243.0,530.0,6.0,773.0,-73.739951,41.75501,Dutchess,12.0,19.0
Fishkill Vg PD,12.0,City,2153,0,12,fishkill village police department,2.0,30.0,0.0,32.0,-73.739951,41.75501,Dutchess,12.0,19.0
Millerton Vg PD,12.0,City,2938,0,0,millerton vlg police dept,,,,,,,Dutchess,8.0,15.0
Wappingers Falls Vg PD,12.0,City,5540,0,0,wappingers falls village police department,7.0,39.0,0.0,46.0,-73.739951,41.75501,Dutchess,12.0,19.0
Red Hook Vg PD,12.0,City,1951,0,0,red hook village police department,5.0,33.0,0.0,38.0,-73.739951,41.75501,Dutchess,8.105263157894736,19.0
Rhinebeck Vg PD,12.0,City,2554,0,0,rhinebeck vlg police dept,1.0,18.0,0.0,19.0,-73.739951,41.75501,Dutchess,12.0,19.0
Millbrook Vg PD,,City,1400,0,0,millbrook village police department,0.0,0.0,0.0,0.0,-73.739951,41.75501,Dutchess,12.0,7.0
Pine Plains Town PD,12.0,City,2399,0,0,town of pine plains police dept,0.0,1.0,0.0,1.0,-73.739951,41.75501,Dutchess,11.9375,16.0
Poughkeepsie Town PD,12.0,City,38934,11,12,poughkeepsie town police department,69.0,903.0,0.0,972.0,-73.739951,41.75501,Dutchess,12.0,19.0
Fishkill Town PD,5.0,City,21973,0,0,fishkill town police department,5.0,353.0,0.0,358.0,-73.739951,41.75501,Dutchess,11.473684210526315,19.0
Hyde Park Town PD,12.0,City,20766,12,12,hyde park town police department,9.0,36.0,0.0,45.0,-73.739951,41.75501,Dutchess,12.0,19.0
East Fishkill Town PD,12.0,City,29578,12,9,east fishkill town police department,12.0,137.0,0.0,149.0,-73.739951,41.75501,Dutchess,12.0,19.0
nan,,Other State Agency,0,0,0,nys park police taconic region,0.0,0.0,0.0,0.0,-73.739951,41.75501,,,
Erie County Sheriff,12.0,County,126954,0,0,erie county sheriff's office,52.0,575.0,2.0,627.0,-78.778192,42.752759,Erie,12.0,19.0
Buffalo City PD,12.0,City,254627,12,12,buffalo police department,2592.0,7965.0,61.0,10557.0,-78.778192,42.752759,Erie,12.0,19.0
Lackawanna City PD,12.0,City,17674,0,0,lackawanna police department,100.0,352.0,0.0,452.0,-78.778192,42.752759,Erie,12.0,19.0
Tonawanda City PD,12.0,City,14700,0,0,tonawanda police department,46.0,287.0,1.0,333.0,-78.778192,42.752759,Erie,12.0,19.0
Kenmore Vg PD,12.0,City,14968,0,7,kenmore village police department,37.0,242.0,0.0,279.0,-78.778192,42.752759,Erie,12.0,19.0
East Aurora-Town Of Aurora PD,12.0,City,13748,0,0,east aurora village pd east aurora,3.0,76.0,0.0,79.0,-78.778192,42.752759,Erie,12.0,19.0
Depew Vg PD,12.0,City,14965,0,0,depew village police department,23.0,230.0,0.0,253.0,-78.778192,42.752759,Erie,12.0,19.0
Gowanda Vg PD,12.0,City,2531,0,0,gowanda village police department,4.0,36.0,0.0,40.0,-78.662421,42.239169,Erie,12.0,19.0
Blasdell Vg PD,12.0,City,2671,0,0,blasdell village pd blasdell,4.0,32.0,0.0,36.0,-78.778192,42.752759,Erie,8.666666666666666,3.0
