agency_type,FIPS,agency_name_full,population_21,months_reported_in_21,is_nibrs_2022,months_reported_in_22,violent_crime_2020,property_crime_2020,murder_2020,total_crime_2020,longitude,latitude,Info
City,36045,theresa village pd theresa,772,0,0,0,0,0,0,0,-76.053514,43.995371,
City,36045,carthage village police department,3250,0,0,0,4,53,0,57,-76.053514,43.995371,
Other State Agency,36045,thousand is st pk & rec comm pd alexandria bay,0,0,0,0,0,0,0,0,-76.053514,43.995371,
County,36049,lewis county sheriff's office,22747,12,1,12,3,21,0,24,-75.44414,43.782681,
City,36049,lowville village police department,3297,0,0,0,2,8,0,10,-75.44414,43.782681,
County,36051,livingston county sheriff's office,38801,8,1,10,16,118,0,134,-77.769779,42.727485,
City,36051,avon village police department,3272,0,0,0,0,0,0,0,-77.769779,42.727485,
City,36051,caledonia village police department,2083,0,0,0,0,2,0,2,-77.769779,42.727485,
City,36051,geneseo village police department,8130,0,0,0,1,75,0,76,-77.769779,42.727485,
City,36051,mount morris village police department,2765,0,0,0,5,51,0,56,-77.769779,42.727485,
City,36051,dansville village police department,4341,0,0,0,2,53,0,55,-77.769779,42.727485,
City,36051,nunda town & village police department,2871,0,0,0,0,0,0,0,-77.769779,42.727485,
County,36053,madison county sheriff's office,43099,0,0,0,20,100,1,120,-75.663575,42.910026,
City,36053,oneida police department,10849,0,1,12,67,481,1,548,-75.663575,42.910026,
County,36065,oneida county sheriff's office,78748,12,1,12,47,,1,,-75.434282,43.242727,
City,36053,cazenovia village police department,2851,0,0,0,2,20,0,22,-75.663575,42.910026,
City,36053,hamilton village police department,4077,0,0,0,0,5,0,5,-75.663575,42.910026,
City,36053,canastota village police department,4518,0,0,0,6,35,0,41,-75.663575,42.910026,
City,36053,chittenango village police department,4826,0,0,0,3,19,0,22,-75.663575,42.910026,
County,36055,monroe county sheriff's office,236185,12,1,12,134,2018,0,2152,-77.664656,43.464475,
City,36055,rochester police department,205199,0,1,12,1680,7039,48,8719,-77.664656,43.464475,
City,36055,irondequoit town police department,49889,10,1,11,0,0,0,0,-77.664656,43.464475,
City,36055,east rochester village police department,6476,12,1,12,7,72,0,79,-77.664656,43.464475,
City,36055,fairport village police department,5300,12,1,12,2,28,0,30,-77.664656,43.464475,
City,36055,brockport village police department,8142,12,1,12,10,52,0,62,-77.664656,43.464475,
City,36055,brighton town police department,35853,12,1,12,34,705,0,739,-77.664656,43.464475,
City,36055,gates town police department,28222,0,0,0,65,731,0,796,-77.664656,43.464475,
City,36055,greece town police department,95431,12,1,12,150,1714,2,1864,-77.664656,43.464475,
City,36055,ogden town police department,20603,12,1,12,11,156,0,167,-77.664656,43.464475,
City,36055,webster town police department,45449,12,1,12,27,367,0,394,-77.664656,43.464475,
County,36057,montgomery county sheriff's office,25113,12,1,11,6,238,0,244,-74.435357,42.900891,
City,36057,amsterdam police department,17675,0,0,0,37,284,0,321,-74.435357,42.900891,
City,36057,canajoharie village police department,2122,0,0,0,1,14,0,15,-74.435357,42.900891,
City,36057,fort plain village police department,2212,0,0,0,8,52,0,60,-74.435357,42.900891,
City,36057,saint johnsville village police department,1668,0,0,0,1,15,0,16,-74.435357,42.900891,
