agency_type,FIPS,agency_name_full,population_21,months_reported_in_21,is_nibrs_2022,months_reported_in_22,violent_crime_2020,property_crime_2020,murder_2020,total_crime_2020,longitude,latitude,Info,County
City,36011,moravia village police department,1201,0,0,0,0,9,0,9,-76.4276933,42.7149963,,Cayuga
County,36013,chautauqua county sheriff's office,56186,12,1,12,37,318,0,355,-79.5039972,42.2545569,,Chautauqua
City,36013,dunkirk police department,11673,12,1,12,27,249,0,276,-79.33402,42.4834594,,Chautauqua
City,36013,jamestown police department,28842,12,1,12,187,692,1,879,-79.2353259,42.0970023,,Chautauqua
City,36013,lakewood-busti police department,7125,12,1,12,5,344,0,349,-79.3127543,42.0323232,,Chautauqua
City,36013,fredonia village police department,10205,11,1,10,11,299,0,310,-79.3317105,42.4400576,,Chautauqua
City,36013,westfield village police department,2941,11,1,12,3,10,0,13,-79.576015,42.3222049,,Chautauqua
City,36013,carroll town police dept,3309,11,1,11,0,25,0,25,-79.159843,42.0527015,,Chautauqua
City,36013,ellicott town police department,4981,11,1,7,11,234,0,245,-79.193,42.1163,,Chautauqua
County,36015,chemung county sheriff's office,39899,0,0,0,9,172,0,181,-76.8010101,42.090805,,Chemung
City,36015,elmira police department,26820,0,0,0,59,818,2,877,-76.8077338,42.0897965,,Chemung
City,36015,elmira heights village police department,3774,0,0,0,2,84,0,86,-76.8207898,42.1297967,,Chemung
City,36015,horseheads village police department,6325,0,0,0,14,97,0,111,-76.8205119,42.167019,,Chemung
City,36015,elmira town police department,5529,0,0,0,0,0,0,0,-76.8077338,42.0897965,,Chemung
County,36017,chenango county sheriff's office,32422,0,0,0,22,235,0,257,-75.538678,42.5072663,,Chenango
City,36017,afton village police department,795,0,0,0,0,0,0,0,-75.5284648,42.2314619,,Chenango
City,36017,bainbridge village police department,1296,0,0,0,0,0,0,0,-75.479962,42.2943,,Chenango
City,36017,greene village police department,1400,0,0,0,0,14,0,14,-75.7711924,42.3297316,,Chenango
City,36017,norwich police department,6474,0,1,9,28,169,0,197,-75.522379,42.531024,,Chenango
City,36017,oxford village police department,1372,0,0,0,0,3,0,3,-75.601504,42.443377,,Chenango
City,36017,sherburne village police department,1301,0,0,0,3,13,0,16,-75.5003,42.678416,,Chenango
City,36017,new berlin town police department,1507,0,0,0,0,5,0,5,-75.3321,42.6252,,Chenango
County,36019,clinton county sheriff's office,60338,0,0,0,0,0,0,0,-73.4672,44.7202,,Clinton
City,36019,plattsburgh police department,19460,0,0,0,27,240,0,267,-73.4543886,44.6922706,,Clinton
County,36021,columbia county sheriff's office,43015,0,0,0,26,254,0,280,-73.7564,42.2493,,Columbia
City,36021,hudson police department,6004,12,1,8,22,158,0,180,-73.788767,42.249985,,Columbia
City,36021,philmont vlg police dept,1246,0,0,0,0,0,0,0,-73.64855,42.24948,,Columbia
City,36021,greenport town police department,4246,0,0,0,1,23,0,24,-72.3592501,41.1034326,,Columbia
City,36021,chatham village police department,1606,0,0,0,0,1,0,1,-73.59467,42.36364,,Columbia
City,36021,columbia greene humane society,2585,0,0,0,0,0,0,0,-73.748558,42.2675743,,Columbia
County,36023,cortland county sheriff's office,25399,0,1,11,15,97,1,112,-75.9927652,42.5440918,,Cortland
City,36023,cortland police department,18615,0,1,12,49,514,0,563,-76.1784759,42.5990963,,Cortland
City,36023,homer village police department,3081,0,0,0,0,1,0,1,-76.182519,42.637662,,Cortland
County,36025,delaware county sheriff's office,31333,0,0,0,30,160,1,190,-74.785804,42.188935,,Delaware
City,36025,delhi village police department,2935,0,0,0,2,24,0,26,-74.918,42.27866,,Delaware
City,36025,hancock village police department,923,0,0,0,1,8,0,9,-75.280438,41.954376,,Delaware
City,36025,sidney village police department,3553,0,0,0,6,41,0,47,-75.390512,42.317222,,Delaware
City,36025,walton village police department,2768,0,0,0,0,0,0,0,-75.135056,42.171396,,Delaware
City,36025,colchester town police department,1947,0,0,0,1,9,0,10,-74.994889,42.08182,,Delaware
County,36027,dutchess county sheriff's office,117314,12,1,12,34,376,0,410,-73.921878,41.7125166,,Dutchess
City,36027,beacon police department,13984,12,1,12,15,124,0,139,-73.9784785,41.508021,,Dutchess
City,36027,poughkeepsie police department,30480,0,0,0,243,530,6,773,-73.9209701,41.7003713,,Dutchess
City,36027,fishkill village police department,2153,0,1,12,2,30,0,32,-73.8990252,41.5356492,,Dutchess
City,36027,millerton vlg police dept,2938,0,0,0,,,,,-73.5106791,41.9537035,,Dutchess
